               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.026581,            0.026478,           0.0014844,             0.81343,             0.82593,             0.88259,             0.66073,            0.028473,            0.023062,            0.011811,           0.0037267,           0.0037267,           0.0037267
                  66,            0.026027,            0.027626,           0.0018265,             0.78938,             0.82965,             0.87891,             0.65024,            0.027975,            0.023159,            0.012965,           0.0036287,           0.0036287,           0.0036287
                  67,            0.025744,            0.027502,           0.0018738,             0.81748,             0.80482,              0.8714,             0.65017,            0.027399,            0.022974,            0.013316,           0.0035307,           0.0035307,           0.0035307
                  68,            0.026005,            0.026807,           0.0016562,             0.83092,             0.79289,             0.88301,             0.65341,            0.026937,            0.022234,             0.01215,           0.0034327,           0.0034327,           0.0034327
                  69,            0.025063,            0.025503,            0.001683,             0.77874,             0.85349,             0.88349,             0.66284,            0.026801,            0.022222,            0.012176,           0.0033347,           0.0033347,           0.0033347
                  70,            0.024709,            0.027308,           0.0016307,             0.80036,             0.80646,             0.88037,             0.66341,            0.027862,            0.022658,            0.013291,           0.0032366,           0.0032366,           0.0032366
                  71,            0.025458,            0.027382,           0.0024118,             0.80389,             0.80269,             0.87359,             0.65994,            0.026922,            0.022845,            0.013259,           0.0031386,           0.0031386,           0.0031386
                  72,            0.024975,             0.02682,           0.0016082,             0.83396,             0.78969,             0.87705,             0.66356,            0.027022,            0.022923,            0.012764,           0.0030406,           0.0030406,           0.0030406
                  73,            0.025687,            0.028029,            0.001386,             0.80939,             0.80892,             0.87673,             0.65879,            0.027639,            0.023264,            0.013182,           0.0029426,           0.0029426,           0.0029426
                  74,            0.024602,            0.026893,           0.0013747,              0.8211,             0.80379,             0.87925,             0.65938,            0.027553,            0.023136,            0.012353,           0.0028446,           0.0028446,           0.0028446
                  75,            0.024089,            0.027059,           0.0012872,             0.86146,             0.76303,             0.88148,             0.66444,            0.027313,             0.02327,            0.012392,           0.0027465,           0.0027465,           0.0027465
                  76,             0.02456,            0.026696,           0.0014251,             0.83271,             0.80284,             0.87921,             0.66347,            0.026815,            0.023255,            0.012948,           0.0026485,           0.0026485,           0.0026485
                  77,             0.02522,            0.026882,           0.0013928,             0.86362,             0.77031,             0.87706,             0.66396,            0.026966,            0.023506,            0.013565,           0.0025505,           0.0025505,           0.0025505
                  78,            0.024449,            0.025584,           0.0012697,              0.8468,             0.78909,              0.8834,             0.66855,            0.026941,            0.023008,            0.014117,           0.0024525,           0.0024525,           0.0024525
                  79,            0.023443,            0.026896,           0.0015935,             0.83338,             0.79705,             0.88317,              0.6688,            0.027033,            0.023502,            0.014056,           0.0023545,           0.0023545,           0.0023545
                  80,            0.023527,             0.02649,           0.0014782,             0.82278,             0.81557,             0.87809,             0.65718,            0.026925,            0.024054,            0.014303,           0.0022564,           0.0022564,           0.0022564
